Date,Value
2017-11-09,0.8603
2017-11-08,0.8631
2017-11-07,0.8639
2017-11-06,0.8631
2017-11-03,0.8608
2017-11-02,0.8567
2017-11-01,0.8608
2017-10-31,0.8584
2017-10-30,0.8601
2017-10-27,0.8635
2017-10-26,0.8545
2017-10-25,0.8467
2017-10-24,0.8502
2017-10-23,0.8514
2017-10-20,0.8484
2017-10-19,0.8437
2017-10-18,0.8491
2017-10-17,0.851
2017-10-16,0.8477
2017-10-13,0.8449
2017-10-12,0.8442
2017-10-11,0.8442
2017-10-10,0.8462
2017-10-09,0.8519
2017-10-06,0.8522
2017-10-05,0.8536
2017-10-04,0.8503
2017-10-03,0.8508
2017-10-02,0.8522
2017-09-29,0.846
2017-09-28,0.8485
2017-09-27,0.8524
2017-09-26,0.8498
2017-09-25,0.8428
2017-09-22,0.8356
2017-09-21,0.8387
2017-09-20,0.8337
2017-09-19,0.8349
2017-09-18,0.8364
2017-09-15,0.8359
2017-09-14,0.8422
2017-09-13,0.8391
2017-09-12,0.8365
2017-09-11,0.8345
2017-09-08,0.8321
2017-09-07,0.8327
2017-09-06,0.8375
2017-09-05,0.8391
2017-09-04,0.8395
2017-09-01,0.842
2017-08-31,0.841
2017-08-30,0.8395
2017-08-29,0.8316
2017-08-25,0.8424
2017-08-24,0.8471
2017-08-23,0.8463
2017-08-22,0.8501
2017-08-21,0.8464
2017-08-18,0.8511
2017-08-17,0.8514
2017-08-16,0.8545
2017-08-15,0.8532
2017-08-14,0.8487
2017-08-11,0.848
2017-08-10,0.8511
2017-08-09,0.8514
2017-08-08,0.8519
2017-08-07,0.8477
2017-08-04,0.8511
2017-08-03,0.8418
2017-08-02,0.8434
2017-08-01,0.8467
2017-07-31,0.8482
2017-07-28,0.8513
2017-07-27,0.8573
2017-07-26,0.8598
2017-07-25,0.8576
2017-07-24,0.8589
2017-07-21,0.858
2017-07-20,0.8595
2017-07-19,0.8682
2017-07-18,0.8635
2017-07-17,0.8718
2017-07-14,0.8737
2017-07-13,0.877
2017-07-12,0.8757
2017-07-11,0.8757
2017-07-10,0.878
2017-07-07,0.8778
2017-07-06,0.877
2017-07-05,0.8827
2017-07-04,0.8809
2017-07-03,0.8797
2017-06-30,0.8769
2017-06-29,0.8753
2017-06-28,0.88
2017-06-27,0.886
2017-06-26,0.8926
2017-06-23,0.8929
2017-06-22,0.8963
2017-06-21,0.8975
2017-06-20,0.8987
2017-06-19,0.8955
2017-06-16,0.8929
2017-06-15,0.8969
2017-06-14,0.8865
2017-06-13,0.8923
2017-06-12,0.8926
2017-06-09,0.8941
2017-06-08,0.8912
2017-06-07,0.8878
2017-06-06,0.8875
2017-06-05,0.8888
2017-06-02,0.8868
2017-06-01,0.8908
2017-05-31,0.8892
2017-05-30,0.8946
2017-05-26,0.894
2017-05-25,0.8918
2017-05-24,0.8941
2017-05-23,0.8906
2017-05-22,0.8891
2017-05-19,0.8932
2017-05-18,0.8986
2017-05-17,0.8971
2017-05-16,0.9023
2017-05-15,0.9108
2017-05-12,0.9156
2017-05-11,0.9202
2017-05-10,0.9199
2017-05-09,0.9182
2017-05-08,0.9148
2017-05-05,0.9103
2017-05-04,0.9137
2017-05-03,0.9167
2017-05-02,0.917
2017-04-28,0.9183
2017-04-27,0.9204
2017-04-26,0.9195
2017-04-25,0.9151
2017-04-24,0.9207
2017-04-21,0.9356
2017-04-20,0.9289
2017-04-19,0.9334
2017-04-18,0.9347
2017-04-13,0.9413
2017-04-12,0.9417
2017-04-11,0.9409
2017-04-10,0.9435
2017-04-07,0.9417
2017-04-06,0.9383
2017-04-05,0.938
2017-04-04,0.9377
2017-04-03,0.9387
2017-03-31,0.935
2017-03-30,0.9317
2017-03-29,0.9302
2017-03-28,0.9201
2017-03-27,0.9187
2017-03-24,0.9255
2017-03-23,0.927
2017-03-22,0.9258
2017-03-21,0.9252
2017-03-20,0.93
2017-03-17,0.9309
2017-03-16,0.9314
2017-03-15,0.9406
2017-03-14,0.9394
2017-03-13,0.9372
2017-03-10,0.9384
2017-03-09,0.9451
2017-03-08,0.9473
2017-03-07,0.9452
2017-03-06,0.9435
2017-03-03,0.9466
2017-03-02,0.9501
2017-03-01,0.9474
2017-02-28,0.9412
2017-02-27,0.9422
2017-02-24,0.9463
2017-02-23,0.944
2017-02-22,0.948
2017-02-21,0.949
2017-02-20,0.9415
2017-02-17,0.9411
2017-02-16,0.9373
2017-02-15,0.9458
2017-02-14,0.9467
2017-02-13,0.943
2017-02-10,0.9412
2017-02-09,0.9377
2017-02-08,0.934
2017-02-07,0.9356
2017-02-06,0.9312
2017-02-03,0.927
2017-02-02,0.9254
2017-02-01,0.9295
2017-01-31,0.9251
2017-01-30,0.9356
2017-01-27,0.9341
2017-01-26,0.9371
2017-01-25,0.931
2017-01-24,0.9301
2017-01-23,0.9303
2017-01-20,0.9364
2017-01-19,0.9425
2017-01-18,0.9352
2017-01-17,0.9353
2017-01-16,0.9428
2017-01-13,0.9413
2017-01-12,0.9387
2017-01-11,0.9547
2017-01-10,0.9438
2017-01-09,0.9474
2017-01-06,0.9457
2017-01-05,0.9432
2017-01-04,0.9546
2017-01-03,0.9629
2016-12-30,0.947
2016-12-29,0.9535
2016-12-28,0.9621
2016-12-23,0.9567
2016-12-22,0.956
2016-12-21,0.9585
2016-12-20,0.9638
2016-12-19,0.9582
2016-12-16,0.9606
2016-12-15,0.9602
2016-12-14,0.939
2016-12-13,0.9398
2016-12-12,0.9426
2016-12-09,0.9491
2016-12-08,0.9422
2016-12-07,0.9288
2016-12-06,0.9318
2016-12-05,0.9324
2016-12-02,0.938
2016-12-01,0.9422
2016-11-30,0.9426
2016-11-29,0.9418
2016-11-28,0.9449
2016-11-25,0.943
2016-11-24,0.9468
2016-11-23,0.9494
2016-11-22,0.9447
2016-11-21,0.9414
2016-11-18,0.9457
2016-11-17,0.9369
2016-11-16,0.937
2016-11-15,0.9321
2016-11-14,0.9326
2016-11-11,0.9216
2016-11-10,0.9192
2016-11-09,0.9134
2016-11-08,0.9053
2016-11-07,0.9063
2016-11-04,0.8992
2016-11-03,0.9012
2016-11-02,0.8994
2016-11-01,0.9056
2016-10-31,0.9122
2016-10-28,0.9152
2016-10-27,0.9159
2016-10-26,0.9159
2016-10-25,0.9209
2016-10-24,0.9189
2016-10-21,0.9199
2016-10-20,0.9152
2016-10-19,0.9117
2016-10-18,0.9114
2016-10-17,0.9099
2016-10-14,0.9088
2016-10-13,0.9066
2016-10-12,0.9082
2016-10-11,0.9044
2016-10-10,0.8963
2016-10-07,0.8949
2016-10-06,0.8953
2016-10-05,0.8928
2016-10-04,0.8961
2016-10-03,0.8915
2016-09-30,0.8897
2016-09-29,0.8905
2016-09-28,0.8935
2016-09-27,0.893
2016-09-26,0.8874
2016-09-23,0.8913
2016-09-22,0.8897
2016-09-21,0.8977
2016-09-20,0.8956
2016-09-19,0.8943
2016-09-16,0.896
2016-09-15,0.8895
2016-09-14,0.8895
2016-09-13,0.8896
2016-09-12,0.8916
2016-09-09,0.892
2016-09-08,0.8869
2016-09-07,0.8895
2016-09-06,0.8896
2016-09-05,0.8975
2016-09-02,0.8959
2016-09-01,0.8935
2016-08-31,0.8981
2016-08-30,0.8968
2016-08-26,0.8866
2016-08-25,0.8865
2016-08-24,0.889
2016-08-23,0.8832
2016-08-22,0.8827
2016-08-19,0.8829
2016-08-18,0.8828
2016-08-17,0.8869
2016-08-16,0.8882
2016-08-15,0.8931
2016-08-12,0.8946
2016-08-11,0.8946
2016-08-10,0.8957
2016-08-09,0.9001
2016-08-08,0.903
2016-08-05,0.9033
2016-08-04,0.8977
2016-08-03,0.8951
2016-08-02,0.8913
2016-08-01,0.8953
2016-07-29,0.8945
2016-07-28,0.9023
2016-07-27,0.9102
2016-07-26,0.9107
2016-07-25,0.9115
2016-07-22,0.9107
2016-07-21,0.9096
2016-07-20,0.9084
2016-07-19,0.9082
2016-07-18,0.9037
2016-07-15,0.9033
2016-07-14,0.9006
2016-07-13,0.9007
2016-07-12,0.9032
2016-07-11,0.9055
2016-07-08,0.9061
2016-07-07,0.9032
2016-07-06,0.9033
2016-07-05,0.9005
2016-07-04,0.8978
2016-07-01,0.8982
2016-06-30,0.8996
2016-06-29,0.9005
2016-06-28,0.9048
2016-06-27,0.9113
2016-06-24,0.8996
2016-06-23,0.8811
2016-06-22,0.8864
2016-06-21,0.8874
2016-06-20,0.882
2016-06-17,0.8892
2016-06-16,0.8971
2016-06-15,0.89
2016-06-14,0.892
2016-06-13,0.885
2016-06-10,0.8851
2016-06-09,0.8829
2016-06-08,0.8777
2016-06-07,0.8807
2016-06-06,0.8798
2016-06-03,0.8827
2016-06-02,0.8961
2016-06-01,0.8949
2016-05-31,0.8983
2016-05-27,0.8982
2016-05-26,0.8941
2016-05-25,0.8973
2016-05-24,0.8961
2016-05-23,0.8931
2016-05-20,0.8919
2016-05-19,0.8925
2016-05-18,0.8867
2016-05-17,0.8823
2016-05-16,0.8825
2016-05-13,0.885
2016-05-12,0.877
2016-05-11,0.8747
2016-05-10,0.8777
2016-05-09,0.8775
2016-05-06,0.8755
2016-05-05,0.8773
2016-05-04,0.8701
2016-05-03,0.8683
2016-04-29,0.8731
2016-04-28,0.8838
2016-04-27,0.8843
2016-04-26,0.8845
2016-04-25,0.8875
2016-04-22,0.8898
2016-04-21,0.8859
2016-04-20,0.8826
2016-04-19,0.879
2016-04-18,0.8827
2016-04-15,0.8853
2016-04-14,0.8879
2016-04-13,0.8862
2016-04-12,0.8791
2016-04-11,0.8739
2016-04-08,0.8767
2016-04-07,0.8788
2016-04-06,0.8792
2016-04-05,0.879
2016-04-04,0.8786
2016-04-01,0.8814
2016-03-31,0.8774
2016-03-30,0.8807
